labor_category_code,labor_category_description,zipcode,city,state,labor_item,labor_item_description,unit_permit_fee,omni_item_id,provider,vbu_number,created_by,created_timestamp,updated_by,updated_timestamp,old_price,county,municipality,est_permit_obtain_days
3,APPL - ELEC COOKING (INLC TRASH COMP),53201,MILWAUKEE,WI,227808,Permit and Processing Fee - Ecook,96.36,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53201,MILWAUKEE,WI,7513734,Permit Fee- Elec Walloven and CT,96.36,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53202,MILWAUKEE,WI,227808,Permit and Processing Fee - Ecook,96.36,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53202,MILWAUKEE,WI,7513734,Permit Fee- Elec Walloven and CT,96.36,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53203,MILWAUKEE,WI,227808,Permit and Processing Fee - Ecook,96.36,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53203,MILWAUKEE,WI,7513734,Permit Fee- Elec Walloven and CT,96.36,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53204,MILWAUKEE,WI,227808,Permit and Processing Fee - Ecook,96.36,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53204,MILWAUKEE,WI,7513734,Permit Fee- Elec Walloven and CT,96.36,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53205,MILWAUKEE,WI,227808,Permit and Processing Fee - Ecook,96.36,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53205,MILWAUKEE,WI,7513734,Permit Fee- Elec Walloven and CT,96.36,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
