labor_category_code,labor_category_description,zipcode,city,state,labor_item,labor_item_description,unit_permit_fee,omni_item_id,provider,vbu_number,created_by,created_timestamp,updated_by,updated_timestamp,old_price,county,municipality,est_permit_obtain_days
3,APPL - ELEC COOKING (INLC TRASH COMP),53146,NEW BERLIN,WI,227808,Permit and Processing Fee - Ecook,45,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53146,NEW BERLIN,WI,806280,Permit Fee - Dishwasher,67,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53146,NEW BERLIN,WI,7513734,Permit Fee- Elec Walloven and CT,45,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53147,LAKE GENEVA,WI,161646,Permit and Processing Fee - Dish,65,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,WALWORTH,DUMMY_VALUE,7
6,APPL - DISHWASHERS,53147,GENEVA,WI,161646,Permit and Processing Fee - Dish,75,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,WALWORTH,DUMMY_VALUE,7
6,APPL - DISHWASHERS,53147,COMO,WI,161646,Permit and Processing Fee - Dish,75,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,WALWORTH,DUMMY_VALUE,7
3,APPL - ELEC COOKING (INLC TRASH COMP),53147,LAKE GENEVA,WI,227808,Permit and Processing Fee - Ecook,65,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WALWORTH,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53147,GENEVA,WI,227808,Permit and Processing Fee - Ecook,75,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WALWORTH,DUMMY_VALUE,1
398,APPL - PREMIUM,53147,LAKE GENEVA,WI,806280,Permit Fee - Dishwasher,65,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,7
398,APPL - PREMIUM,53147,GENEVA,WI,806280,Permit Fee - Dishwasher,75,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,7
398,APPL - PREMIUM,53147,COMO,WI,806280,Permit Fee - Dishwasher,75,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,7
398,APPL - PREMIUM,53147,LAKE GENEVA,WI,7513734,Permit Fee- Elec Walloven and CT,65,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,1
398,APPL - PREMIUM,53147,GENEVA,WI,7513734,Permit Fee- Elec Walloven and CT,75,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53149,MUKWONAGO,WI,161646,Permit and Processing Fee - Dish,70,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,WAUKESHA,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),53149,MUKWONAGO,WI,227808,Permit and Processing Fee - Ecook,55,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53149,MUKWONAGO,WI,806280,Permit Fee - Dishwasher,70,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
